L1NAME,PROVINCE,CITY,BANKCODE12D,L2NAME,L1CATCODE,COUNTYHINT,DATETIME
中国建设银行,福建省,福州市,105391005232,中国建设银行股份有限公司福州金山万达支行,none,,2020-12-07 17:32:17
交通银行,北京市,北京市,301100001510,交通银行北京五道口支行,none,,2020-12-07 15:14:28
交通银行,北京市,北京市,301100001448,交通银行北京福海国际支行,none,,2020-12-07 15:14:28
中国建设银行,福建省,福州市,105391005152,中国建设银行股份有限公司福州台江支行,none,,2020-12-07 17:32:17
中国建设银行,福建省,福州市,105391005177,中国建设银行股份有限公司福州金山支行,none,,2020-12-07 17:32:17
中国建设银行,福建省,福州市,105391005185,中国建设银行股份有限公司福州福兴支行,none,,2020-12-07 17:32:17
中国建设银行,福建省,福州市,105391005216,中国建设银行股份有限公司福州则徐大道支行,none,,2020-12-07 17:32:17
中国建设银行,广东省,梅州市,105596033004,中国建设银行梅州市分行,none,,2020-12-07 17:33:28
